	id	context	question	model_answer	gold_answers	mturk_scores	avg_score
0	5730b8ca8ab72b1400f9c707	One key figure in the plans for what would come to be known as American Empire, was a geographer named Isiah Bowman. Bowman was the director of the American Geographical Society in 1914. Three years later in 1917, he was appointed to then President Woodrow Wilson's inquiry in 1917. The inquiry was the idea of President Wilson and the American delegation from the Paris Peace Conference. The point of this inquiry was to build a premise that would allow for U.S authorship of a 'new world' which was to be characterized by geographical order. As a result of his role in the inquiry, Isiah Bowman would come to be known as Wilson's geographer. 	What was the premise of Woodrow Wilson's inquiry?	new world	['us authorship of a new world', 'allow for us authorship of a new world which was to be characterized by geographical order', 'allow for us authorship of a new world which was to be characterized by geographical order', 'allow for us authorship of a new world', 'us authorship of a new world']	[4]	4
1	572689b6dd62a815002e8891	Train operator Virgin Trains East Coast provides a half-hourly frequency of trains to London King's Cross, with a journey time of about three hours, these services call at Durham, Darlington, York, Doncaster, Newark North Gate and Peterborough and north to Scotland with all trains calling at Edinburgh and a small number of trains extended to Glasgow, Aberdeen and Inverness. CrossCountry trains serve destinations in Yorkshire, the Midlands and the South West. First TransPennine Express operates services to Manchester and Liverpool. Northern Rail provides local and regional services.	How many hours can one expect to ride the train from Newcastle to King's Cross?	three hours	['about three', 'three', 'about three hours']	[5]	5
2	5728e715ff5b5019007da914	"Some forms of civil disobedience, such as illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins, make it more difficult for a system to function. In this way, they might be considered coercive. Brownlee notes that ""although civil disobedients are constrained in their use of coercion by their conscientious aim to engage in moral dialogue, nevertheless they may find it necessary to employ limited coercion in order to get their issue onto the table."" The Plowshares organization temporarily closed GCSB Waihopai by padlocking the gates and using sickles to deflate one of the large domes covering two satellite dishes."	What is a type of disobedience against the federal government?	illegal boycotts	['refusals to pay taxes', 'civil disobedience', 'refusals to pay taxes', 'refusals to pay taxes', 'refusals to pay taxes']	[5]	5
3	572885023acd2414000dfa86	The reason for the order of the classes and the reason why people were placed in a certain class was the date they surrendered to the Mongols, and had nothing to do with their ethnicity. The earlier they surrendered to the Mongols, the higher they were placed, the more the held out, the lower they were ranked. The Northern Chinese were ranked higher and Southern Chinese were ranked lower because southern China withstood and fought to the last before caving in. Major commerce during this era gave rise to favorable conditions for private southern Chinese manufacturers and merchants.	Why were Northern Chinese ranked higher?	southern china withstood and fought to the last before caving in	['earlier they surrendered to the mongols the higher they were placed', 'earlier they surrendered to the mongols', 'they surrendered']	[2]	2
4	572975511d046914007794a9	While photosystem II photolyzes water to obtain and energize new electrons, photosystem I simply reenergizes depleted electrons at the end of an electron transport chain. Normally, the reenergized electrons are taken by NADP+, though sometimes they can flow back down more H+-pumping electron transport chains to transport more hydrogen ions into the thylakoid space to generate more ATP. This is termed cyclic photophosphorylation because the electrons are recycled. Cyclic photophosphorylation is common in C4 plants, which need more ATP than NADPH.	Where is cyclic photophosphorylation common?	c4 plants	['in c4 plants', 'in c4 plants', 'in c4 plants']	[4]	4
5	5733f309d058e614000b6648	After Washington had returned to Williamsburg, Dinwiddie ordered him to lead a larger force to assist Trent in his work. While en route, Washington learned of Trent's retreat. Since Tanaghrisson had promised support to the British, Washington continued toward Fort Duquesne and met with the Mingo leader. Learning of a French scouting party in the area, Washington, with Tanaghrisson and his party, surprised the Canadians on May 28 in what became known as the Battle of Jumonville Glen. They killed many of the Canadians, including their commanding officer, Joseph Coulon de Jumonville, whose head was reportedly split open by Tanaghrisson with a tomahawk. The historian Fred Anderson suggests that Tanaghrisson was acting to gain the support of the British and regain authority over his own people. They had been inclined to support the French, with whom they had long trading relationships. One of Tanaghrisson's men told Contrecoeur that Jumonville had been killed by British musket fire.	Upon learning of a French scounting party in the area, what did Washington do?	surprised the canadians	['with tanaghrisson and his party surprised the canadians on may 28 in what became known as the battle of jumonville glen', 'killed many of the canadians', 'surprised the canadians on may 28', 'battle of jumonville glen', 'surprised the canadians on may 28']	[4]	4
6	57264991f1498d1400e8db30	The plague struck various countries in the Middle East during the pandemic, leading to serious depopulation and permanent change in both economic and social structures. As it spread to western Europe, the disease entered the region from southern Russia also. By autumn 1347, the plague reached Alexandria in Egypt, probably through the port's trade with Constantinople, and ports on the Black Sea. During 1347, the disease travelled eastward to Gaza, and north along the eastern coast to cities in Lebanon, Syria and Palestine, including Ashkelon, Acre, Jerusalem, Sidon, Damascus, Homs, and Aleppo. In 1348–49, the disease reached Antioch. The city's residents fled to the north, most of them dying during the journey, but the infection had been spread to the people of Asia Minor.[citation needed]	How did the plague infiltrate Alexandria?	through the ports trade with constantinople and ports on the black sea	['y through the ports trade with constantinople and ports on the black sea', 'ports trade', 'trade with constantinople']	[4]	4
7	57378c9b1c456719005744a9	Through combining the definition of electric current as the time rate of change of electric charge, a rule of vector multiplication called Lorentz's Law describes the force on a charge moving in a magnetic field. The connection between electricity and magnetism allows for the description of a unified electromagnetic force that acts on a charge. This force can be written as a sum of the electrostatic force (due to the electric field) and the magnetic force (due to the magnetic field). Fully stated, this is the law:	What magnetic and electric force acts on a charge?	magnetic field	['unified electromagnetic', 'unified electromagnetic force', 'electromagnetic', 'unified electromagnetic force']	[4]	4
8	57266c015951b619008f723b	At the beginning of the 20th century, important advancement in geological science was facilitated by the ability to obtain accurate absolute dates to geologic events using radioactive isotopes and other methods. This changed the understanding of geologic time. Previously, geologists could only use fossils and stratigraphic correlation to date sections of rock relative to one another. With isotopic dates it became possible to assign absolute ages to rock units, and these absolute dates could be applied to fossil sequences in which there was datable material, converting the old relative ages into new absolute ages.	When dating rocks, what is the absolute isotopic date applied to?	fossil sequences in which there was datable material	['fossil sequences', 'fossil sequences', 'fossil sequences', 'fossil sequences']	[3]	3
9	56bf38383aeaaa14008c956d	Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4. Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards. Running back Ronnie Hillman also made a big impact with 720 yards, five touchdowns, 24 receptions, and a 4.7 yards per carry average. Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.	What was the number of 17 interceptions that Peyton Manning had by end of the year?	17 interceptions	['nine', '17', 'careerlow 679 passer rating']	[5]	5
